time_key,open,close,high,low,volume,turnover,last_close
2026-01-15 09:58:00,631.5,631.0,632.0,631.0,64700,40860272.9,631.5
2026-01-15 09:59:00,631.5,632.0,632.0,631.0,91100,57557001.0,631.0
2026-01-15 10:00:00,632.5,631.5,632.5,631.0,144600,91369919.9,632.0
2026-01-15 10:01:00,631.5,632.0,632.5,631.0,89300,56408936.6,631.5
2026-01-15 10:02:00,632.0,631.5,632.5,631.5,54100,34187431.8,632.0
2026-01-15 10:03:00,631.5,631.0,632.0,630.5,73200,46200600.5,631.5
2026-01-15 10:04:00,631.5,632.0,632.0,631.0,84400,53285548.4,631.0
2026-01-15 10:05:00,632.0,630.5,632.0,630.5,107700,67993814.2,632.0
2026-01-15 10:06:00,630.5,631.0,631.0,630.0,94100,59328863.6,630.5
2026-01-15 10:07:00,631.0,630.5,631.0,630.0,66300,41807444.2,631.0
2026-01-15 10:08:00,630.5,629.0,630.5,629.0,112500,70862065.4,630.5
2026-01-15 10:09:00,629.0,628.5,629.0,628.0,180600,113515700.0,629.0
2026-01-15 10:10:00,628.5,627.5,629.0,627.0,148000,92907592.7,628.5
2026-01-15 10:11:00,627.5,627.5,628.0,627.0,61200,38398475.0,627.5
2026-01-15 10:12:00,627.5,627.5,627.5,627.0,29500,18505833.2,627.5
2026-01-15 10:13:00,627.0,627.0,627.5,626.0,278000,174222550.0,627.5
2026-01-15 10:14:00,627.0,626.5,627.0,625.5,83700,52403075.0,627.0
2026-01-15 10:15:00,626.0,626.5,627.0,626.0,116600,73047350.0,626.5
2026-01-15 10:16:00,626.5,627.5,627.5,626.5,64400,40373167.2,626.5
2026-01-15 10:17:00,627.5,627.0,628.0,626.5,112100,70320675.0,627.5
2026-01-15 10:18:00,627.0,626.0,627.0,626.0,80900,50680928.2,627.0
2026-01-15 10:19:00,626.0,625.5,626.5,625.5,55400,34674700.0,626.0
2026-01-15 10:20:00,625.5,625.5,626.0,625.0,123500,77207500.0,625.5
2026-01-15 10:21:00,625.5,625.5,625.5,625.0,34000,21255475.0,625.5
2026-01-15 10:22:00,625.0,625.5,625.5,625.0,30900,19321912.5,625.5
2026-01-15 10:23:00,625.0,625.5,625.5,625.0,81900,51206107.7,625.5
2026-01-15 10:24:00,625.5,626.0,626.0,625.0,44600,27895625.0,625.5
2026-01-15 10:25:00,626.0,625.5,626.0,625.0,59300,37090184.5,626.0
2026-01-15 10:26:00,625.0,625.5,625.5,625.0,46600,29144432.8,625.5
2026-01-15 10:27:00,625.5,625.5,625.5,624.5,166400,104001227.4,625.5
2026-01-15 10:28:00,625.0,625.5,626.0,625.0,56000,35029384.0,625.5
2026-01-15 10:29:00,625.5,625.0,625.5,625.0,38300,23952793.5,625.5
2026-01-15 10:30:00,625.0,625.5,625.5,625.0,20400,12754916.0,625.0
2026-01-15 10:31:00,625.0,625.5,626.0,625.0,89400,55918878.0,625.5
2026-01-15 10:32:00,625.5,625.5,626.0,625.5,45300,28337785.4,625.5
2026-01-15 10:33:00,625.5,624.5,626.0,624.5,100000,62517676.4,625.5
2026-01-15 10:34:00,625.0,625.5,625.5,624.5,150800,94245803.6,624.5
